"","Category","label"
"1","CSD",1
"2","Soy Milk",1
"3","Cooking Sauces",3
"4","Coconut Milk",8
"5","Chocolate",6
"6","Cooking Oils",7
"7","Canned Product",3
"8","Instant Noodles",2
"9","Cultured Milk",1
"10","Ice Cream",8
"11","Coffee",1
"12","Liquid Milk",1
"13","Cereal Beverage",5
"14","Condensed/Evap Milk",4
"15","Rice",3
"16","Sugar",5
"17","Biscuits",2
"18","Drinking Water",1
"19","Eggs",1
"20","Snack",4
"21","Seasoning Powder",3
"22","Isotonic Drinks",1
"23","Flour",5
"24","Milk Powder-Adult",1
"25","Cordials",3
"26","Margarine",7
"27","Tea",1
"28","Peanut Butter",6
"29","Fruit/Veg Juices",1
"30","Cereals",5
"31","Choc/Nut Spread",6
"32","Cake",5
"33","RTD Tea",1
"34","Butter",7
"35","Bouilon",1
"36","Cheese",4
"37","Frozen Food",8
"38","Salad Dressing",2
"39","Tonic Food Drink",6
"40","Jam",8
"41","Spagetti",5
"42","MSG",1
"43","Yoghurt Drink",1
"44","Belacan",6
"45","Kaya",4
"46","Confectionery",2
"47","Savoury Spread",4
"48","Instant Soup",3
"49","Honey",4
"50","Yoghurts",1
"51","RTD Coffee",1
"52","Milk Powder-Kids",1
"53","Ghee",3
"54","Milk Powder-Infant",2
"55","Baby Cereal",3
"56","Bird Nest",1
"57","Energy Drinks",1
"58","Beer",1
"59","Wine",1
"60","Chicken Essence",8
"61","Creamer",3
"62","Spirits",8
