antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Coconut Milk,Bouilon,0.08490893924648964,0.05011817044348672,0.011226192131238705,0.1322144903806795,2.638055005015888,0.006970711441907479,1.09460439132385
Bouilon,Coconut Milk,0.05011817044348672,0.08490893924648964,0.011226192131238705,0.22399445214979197,2.638055005015888,0.006970711441907479,1.1792326269942466
Bouilon,Condensed/Evap Milk,0.05011817044348672,0.16008619491171971,0.01643959404977061,0.3280166435506241,2.049000188501641,0.008416366847535803,1.249902690337771
Condensed/Evap Milk,Bouilon,0.16008619491171971,0.05011817044348672,0.01643959404977061,0.10269214068606167,2.049000188501641,0.008416366847535803,1.0585907831931527
Cooking Sauces,Bouilon,0.21211594605866815,0.05011817044348672,0.022417628249687196,0.10568572833032935,2.108730773592397,0.01178676511133743,1.0621342626939174
Bouilon,Cooking Sauces,0.05011817044348672,0.21211594605866815,0.022417628249687196,0.4472954230235784,2.108730773592397,0.01178676511133743,1.4255066571937272
Bouilon,Flour,0.05011817044348672,0.1458014736549423,0.015188377589322953,0.3030513176144244,2.0785202646965955,0.007881074481773016,1.225626144268232
Flour,Bouilon,0.1458014736549423,0.05011817044348672,0.015188377589322953,0.10417163289630513,2.078520264696596,0.007881074481773016,1.060339083286209
Bouilon,Sugar,0.05011817044348672,0.18782149311830948,0.0188725149450855,0.3765603328710125,2.004884140889114,0.009459245340031897,1.3027379387357039
Sugar,Bouilon,0.18782149311830948,0.05011817044348672,0.0188725149450855,0.10048112509252405,2.004884140889114,0.009459245340031897,1.055988769167537
Flour,Butter,0.1458014736549423,0.04167245933546503,0.012790212706798277,0.08772348033373063,2.105070872528856,0.006714306724861817,1.0504792351940748
Butter,Flour,0.04167245933546503,0.1458014736549423,0.012790212706798277,0.3069224353628024,2.105070872528856,0.006714306724861817,1.2324717606350473
CSD,Isotonic Drinks,0.056026692617822886,0.06210899485611011,0.013763381064924233,0.2456575682382134,3.9552655586736853,0.010283619501319008,1.2433226153716699
Isotonic Drinks,CSD,0.06210899485611011,0.056026692617822886,0.013763381064924233,0.2216004476776721,3.9552655586736853,0.010283619501319008,1.2127104962558954
Coffee,Cake,0.1449673293479772,0.038752954261087165,0.011747532323091895,0.08103572284823783,2.0910850383762325,0.006129620039517775,1.0460113299705205
Cake,Coffee,0.038752954261087165,0.1449673293479772,0.011747532323091895,0.30313901345291483,2.0910850383762325,0.006129620039517775,1.2269773845263905
Peanut Butter,Canned Product,0.03572918114833866,0.14545391352704018,0.010496315862644238,0.2937743190661479,2.0197072182010056,0.005299366637501832,1.2100184254741084
Canned Product,Peanut Butter,0.14545391352704018,0.03572918114833866,0.010496315862644238,0.07216248506571088,2.0197072182010056,0.005299366637501832,1.039266901080145
Cereals,Liquid Milk,0.05394133185041012,0.1878910051438899,0.024085916863617406,0.44652061855670105,2.3764874652448027,0.013950825803443727,1.4672795809274537
Liquid Milk,Cereals,0.1878910051438899,0.05394133185041012,0.024085916863617406,0.12819089900110986,2.3764874652448023,0.013950825803443727,1.0851672310665568
Frozen Food,Cheese,0.20658974002502434,0.046399277074933964,0.020123731405533158,0.09740915208613728,2.09936788301299,0.010538116817273478,1.056514948195078
Cheese,Frozen Food,0.046399277074933964,0.20658974002502434,0.020123731405533158,0.4337078651685393,2.09936788301299,0.010538116817273478,1.401061768606604
