antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Cooking Sauces,Bouilon,0.14993852962871895,0.034079173838209985,0.01219572166215884,0.08133814365365694,2.386740477917913,0.007085940445896128,1.0514432698919305
Bouilon,Cooking Sauces,0.034079173838209985,0.14993852962871895,0.01219572166215884,0.35786435786435783,2.386740477917913,0.007085940445896128,1.3238035931849388
Cereals,Liquid Milk,0.03363658716498648,0.13110400786820753,0.011163019424637325,0.33187134502923976,2.53135926525491,0.00675312803629929,1.3004920319871904
Liquid Milk,Cereals,0.13110400786820753,0.03363658716498648,0.011163019424637325,0.08514628657164292,2.53135926525491,0.00675312803629929,1.0563037550709906
Coconut Milk,Sugar,0.04519301696582247,0.10572903860339317,0.0117039586919105,0.2589771490750816,2.4494420122985043,0.006925744456527254,1.206806187259151
Sugar,Coconut Milk,0.10572903860339317,0.04519301696582247,0.0117039586919105,0.11069767441860466,2.449442012298505,0.006925744456527254,1.073658479876298
Condensed/Evap Milk,Sugar,0.10690926973198918,0.10572903860339317,0.026456847799360708,0.24747010119595217,2.3406067478231103,0.015153433492806652,1.18835273232043
Sugar,Condensed/Evap Milk,0.10572903860339317,0.10690926973198918,0.026456847799360708,0.2502325581395349,2.3406067478231103,0.015153433492806652,1.1911569913624211
Tea,Condensed/Evap Milk,0.03899680354069338,0.10690926973198918,0.01194984017703467,0.30643127364438844,2.8662741258319406,0.00778072038861729,1.2876744529136954
Condensed/Evap Milk,Tea,0.10690926973198918,0.03899680354069338,0.01194984017703467,0.11177552897884085,2.8662741258319406,0.00778072038861729,1.0819373118086653
Cooking Sauces,Seasoning Powder,0.14993852962871895,0.03678387017457586,0.012490779444307844,0.08330600196785833,2.264742713925667,0.0069754600362782505,1.0507499033408652
Seasoning Powder,Cooking Sauces,0.03678387017457586,0.14993852962871895,0.012490779444307844,0.339572192513369,2.264742713925667,0.0069754600362782505,1.2871376110075268
Flour,Sugar,0.08379641013031719,0.10572903860339317,0.027194492254733218,0.3245305164319249,3.0694549077410196,0.018334778373239144,1.3239250375497986
Sugar,Flour,0.10572903860339317,0.08379641013031719,0.027194492254733218,0.25720930232558137,3.069454907741019,0.018334778373239144,1.2334613138508566
Ice Cream,Frozen Food,0.039095156134743056,0.1180722891566265,0.010277846078190312,0.2628930817610063,2.2265434475677064,0.0056617914984254695,1.1964718944035526
Frozen Food,Ice Cream,0.1180722891566265,0.039095156134743056,0.010277846078190312,0.08704706372344856,2.226543447567706,0.0056617914984254695,1.052523964471023
Yoghurts,Liquid Milk,0.036046225719203344,0.13110400786820753,0.010179493484140644,0.28240109140518416,2.154023328478777,0.005453688823831024,1.2108379510125549
Liquid Milk,Yoghurts,0.13110400786820753,0.036046225719203344,0.010179493484140644,0.07764441110277569,2.154023328478777,0.005453688823831024,1.0450999439742186
Rice,Sugar,0.1517580526186378,0.10572903860339317,0.03211212195721662,0.21160077770576796,2.0013496812310656,0.01606688895352489,1.1342869654212615
Sugar,Rice,0.10572903860339317,0.1517580526186378,0.03211212195721662,0.3037209302325581,2.0013496812310656,0.01606688895352489,1.2182499578289436
Tea,Sugar,0.03899680354069338,0.10572903860339317,0.011163019424637325,0.2862547288776797,2.7074371682454035,0.007039924877674415,1.2529273363736915
Sugar,Tea,0.10572903860339317,0.03899680354069338,0.011163019424637325,0.1055813953488372,2.707437168245403,0.007039924877674415,1.0744445514235617
