"","pid","Recency","Monetary","Frequency"
"1","101011101",15,1300.46666666667,36.3333333333333
"2","101016101",8,629.2,23.6666666666667
"3","101019101",1,2436.93333333333,51
"4","101024101",1,1995.9,51
"5","105009103",1,1567.56666666667,52
"6","105015101",680,665.033333333333,14
"7","105017101",1,470.566666666667,50.3333333333333
"8","105021106",1,3209.2,52
"9","105027101",29,1941.26666666667,45.3333333333333
"10","105031104",1,1888.43333333333,45
"11","105039101",540,153.666666666667,5
"12","105043101",1,6889.66666666667,51.3333333333333
"13","105044101",1,984.366666666667,41.6666666666667
"14","105046101",1,1346.2,35.3333333333333
"15","105048101",1,2026.2,30.6666666666667
"16","105049101",1065,24.3333333333333,1.33333333333333
"17","105052101",1,2961.4,42
"18","105055101",1,1126.66666666667,33
"19","105058101",1,756.6,29
"20","105059101",1065,10.4666666666667,0.666666666666667
"21","105065101",8,1286.26666666667,45.6666666666667
"22","105066101",8,985,25.3333333333333
"23","105068101",925,508.433333333333,5.33333333333333
"24","106003101",1,3338.43333333333,51.3333333333333
"25","106004101",29,1621.2,40
"26","106006101",1,1013.2,51.3333333333333
"27","106012101",1,1544.36666666667,44.6666666666667
"28","106014103",1,3969.5,40.3333333333333
"29","106016101",1,1238.93333333333,39
"30","106023104",8,1570.36666666667,49
"31","106024101",64,1915.06666666667,32.6666666666667
"32","106047101",1072,42.5,1
"33","106052101",869,165.966666666667,5
"34","106059101",1,1928.83333333333,49
"35","106060101",575,458.066666666667,14.6666666666667
"36","106061101",1,3016.33333333333,49
"37","106064101",799,185.866666666667,4
"38","106065101",8,1368.93333333333,26.6666666666667
"39","106067102",1,789.766666666667,37
"40","106077101",8,2871.8,35.3333333333333
"41","106081101",1,1693.86666666667,51.6666666666667
"42","106082101",1,2436.2,41
"43","106083101",260,423.766666666667,14
"44","106084101",841,578.733333333333,8.33333333333333
"45","106085101",92,1244.36666666667,19.3333333333333
"46","106088101",211,971.9,30.3333333333333
"47","106097101",1,2884.03333333333,48.3333333333333
"48","107007102",8,1296.93333333333,33.3333333333333
"49","107009103",15,672,19
"50","107015101",8,886.033333333333,17
"51","107024101",8,735.866666666667,40.3333333333333
"52","107025101",1,2652.26666666667,48.6666666666667
"53","107028101",442,503.066666666667,17.3333333333333
"54","107030101",8,1255.16666666667,39
"55","107032101",8,1084.66666666667,32.3333333333333
"56","107034101",582,558.566666666667,11
"57","107037101",43,1436.3,36.3333333333333
"58","107039101",1,919,47.3333333333333
"59","107040101",1,1018.43333333333,45
"60","107041101",15,1383.93333333333,17
"61","107047101",1,1291.03333333333,47.6666666666667
"62","107049101",15,975.133333333333,36
"63","107050101",1,3055,33.3333333333333
"64","107054101",869,198,7
"65","108008103",1,1471.33333333333,46
"66","108009101",1,1916.56666666667,39.3333333333333
"67","108023101",15,1793.63333333333,30
"68","108031101",1,2164.8,35.3333333333333
"69","108032101",1,2005.53333333333,41.3333333333333
"70","108035101",666,201.866666666667,11.6666666666667
"71","108040101",57,1759.66666666667,45
"72","108044105",1,1955.56666666667,45.6666666666667
"73","108052110",1,2261.7,48.6666666666667
"74","108058101",1,2574.83333333333,32
"75","108071101",176,936.433333333333,38
"76","109012101",8,1333.36666666667,38
"77","109013101",1,3313.73333333333,50.3333333333333
"78","109016101",1,2162.76666666667,50
"79","109017101",8,801.6,27.3333333333333
"80","109019101",939,63.7666666666667,5.66666666666667
"81","109024101",1,2216.93333333333,47.3333333333333
"82","109029101",477,494.1,21
"83","109030101",1,2719.1,51.6666666666667
"84","109037101",1,1340.36666666667,29.6666666666667
"85","109039101",736,728.5,10.3333333333333
"86","109040101",1,2268.93333333333,52
