Panel ID,Frequency_EMA,Monetary_EMA,Baby Cereal,Beer,Belacan,Bird Nest,Biscuits,Bouilon,Butter,CSD,Cake,Canned Product,Cereal Beverage,Cereals,Cheese,Chicken Essence,Choc/Nut Spread,Chocolate,Coconut Milk,Coffee,Condensed/Evap Milk,Confectionery,Cooking Oils,Cooking Sauces,Cordials,Creamer,Cultured Milk,Drinking Water,Eggs,Energy Drinks,Flour,Frozen Food,Fruit/Veg Juices,Ghee,Honey,Ice Cream,Instant Noodles,Instant Soup,Isotonic Drinks,Jam,Kaya,Liquid Milk,MSG,Margarine,Milk Powder-Adult,Milk Powder-Infant,Milk Powder-Kids,Peanut Butter,RTD Coffee,RTD Tea,Rice,Salad Dressing,Savoury Spread,Seasoning Powder,Snack,Soy Milk,Spagetti,Spirits,Sugar,Tea,Tonic Food Drink,Wine,Yoghurt Drink,Yoghurts,BMI,Income,Ethnicity,Lifestage,Strata,#HH,location
Panel 101011101,1.4684674380609573,30.911020315194513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.600000000000015,5.2999999999999945,0.0,0.0,0.0,9.599999999999998,4.100000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000016,0.0,2.8000000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Obese,Income 1500 - 1999,North Malay,Empty Nesters,Urban,1-3 Member HH,North
Panel 101016101,1.7042135247006034,9.947671660339914,0.0,0.0,0.0,0.0,6.20000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39999999999999,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.100000000000005,0.0,1.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.900000000000055,0.0,0.0,2.4000000000000004,0.0,0.0,0.0,0.0,11.599999999999984,0.0,0.0,0.0,0.0,0.0,Healthy,Income 1500 - 1999,North Malay,Teens Aches,Urban,1-3 Member HH,North
Panel 101019101,1.0,65.32406341012212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2000000000000304,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.9499999999999735,0.0,0.0,2.5,0.0,11.800000000000116,0.0,0.0,0.0,2.650000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.399999999999851,0.0,0.0,4.5,0.0,0.0,0.0,0.0,5.799999999999893,0.0,1.799999999999968,0.0,0.0,0.0,Obese,Income < 1500,North Malay,Teens Aches,Urban,4 Member HH,North
Panel 101024101,1.0,38.302923046619334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2999999999999785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Over Weight,Income 1500 - 1999,North Chinese,Nesting Families,Urban,1-3 Member HH,North
Panel 105009103,1.0,38.01975967602897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3999999999999893,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,3.400000000000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,2.40000000000004,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,Over Weight,Income < 1500,North Malay,Empty Nesters,Rural,1-3 Member HH,North
Panel 105015101,1.4009128910747923,29.13784986470471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.900000000000063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.899999999999987,0.0,0.0,0.0,0.0,0.0,Healthy,Income 2000 - 2999,North Malay,Teens and Toddlers,Rural,7+ Member HH,North
Panel 105017101,1.0,8.861334275058056,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.8000000000000074,0.0,0.0,0.0,0.0,0.0,Obese,Income < 1500,North Malay,Matured Families,Rural,1-3 Member HH,North
Panel 105021106,1.0,57.70854651117525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.899999999999856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.900000000000036,0.0,0.0,0.0,0.0,0.0,Obese,Income 4000 - 4999,North Malay,Matured Families,Rural,4 Member HH,North
Panel 105027101,1.0195527665709938,24.781747157642524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299999999999981,0.0,6.799999999999977,0.0,0.0,0.0,0.0,0.0,0.0,4.799999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3999999999999884,0.0,0.0,0.0,0.0,0.0,0.0,3.7999999999999776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9000000000000465,0.0,0.0,0.0,Healthy,Income < 1500,North Malay,Empty Nesters,Rural,1-3 Member HH,North
Panel 105031104,1.0629943361281087,43.585564236706404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.199999999999914,0.0,3.6000000000000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.900000000000048,0.0,0.0,0.0,Over Weight,Income < 1500,North Malay,Teens and Toddlers,Rural,5 Member HH,North
Panel 105039101,3.696768676756975,7.067434713224243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Obese,Income 2000 - 2999,North Malay,Teens Aches,Rural,6 Member HH,North
