Category,Name,Quantity,Price,Discount,OriginalPrice,PricePerVolume,OriginalPricePerVolume
Canned Product,Hosen Canned Mushroom,0.425,4.59,-11,5.15,10.8,12.1
Canned Product,Style Food Products Margarine Biscuits,0.18,4.12,0,4.12,22.9,22.9
Canned Product,Hosen Canned Straw Mushroom,0.425,5.25,0,5.25,12.4,12.4
Canned Product,Yi Jia Food Products Mi Parang,2.88,3.66,0,3.66,1.3,1.3
Canned Product,Yeos Chicken In Soy Sauce Canned,0.28,6.55,0,6.55,23.4,23.4
Canned Product,Sun City Canned Sardines In Tomato Sauce,0.425,4.15,0,4.15,9.8,9.8
Canned Product,Sun City Canned Baked Beans In Tomato Sauce,0.425,2.66,-8,2.9,6.3,6.8
Canned Product,Sun City Fried Dace With Salted Black Beans Canned,0.184,7.45,0,7.45,40.5,40.5
Cereal Beverage,Fitnesse Cereal,0.33,13.59,-15,15.99,41.2,48.5
Cereal Beverage,Good Morning V Grain Beverage Powder,1,59.59,-10,65.99,59.6,66.2
Cereal Beverage,Nestum Original Cereal,0.5,6.39,-20,7.99,12.8,16
Cereal Beverage,Tesco Cereal Flakes,0.55,6.29,0,6.29,11.4,11.4
Cereal Beverage,Kellogg's Frosties Cereal,0.3,14.39,0,14.39,48,48
Cereal Beverage,Fitnesse & Fruit Cereal,0.4,13.59,-15,15.99,34,40
Cereal Beverage,Kellogg's Special Original Cereal,0.37,16.91,-6,17.99,45.7,48.6
Cereal Beverage,Kellogg's Coco Pops Cereal,0.4,13.29,-5,13.99,33.2,34.9
Cereal Beverage,Kellogg's Fun Pack Cereal,0.17,8.27,-7,8.89,48.6,52.3
Cereal Beverage,Fitnesse Honey & Almond Cereal,0.39,13.59,-15,15.99,34.8,40.9
Cereal Beverage,Corn Flakes Breakfast Cereal,0.275,7.4,0,7.4,26.9,26.9
Cereal Beverage,Koko Krunch Maxx Cereal,0.25,11.99,0,11.99,48,48
Cereal Beverage,Tesco Fruit & Fibre Cereal,0.75,16.99,0,16.99,22.7,22.7
Cereal Beverage,Nestum Multi-Grain Cereal,0.25,4.3,0,4.3,17.2,17.2
Cereal Beverage,Nestlé School Pack Cereal,0.02,7.34,-16,8.7,367,436.9
Cereal Beverage,Corn Flakes Breakfast Cereal,0.5,12.99,0,12.99,26,26
Cereal Beverage,Koko Krunch Duo Cereal,0.33,10.28,-6,10.99,31.2,33.2
Cereal Beverage,Tesco Honey Nut Cereal,0.5,12.99,0,12.99,26,26
Cereal Beverage,Belvita Breakfast Biscuits - Milk & Cereal,0.16,5.49,0,5.49,34.3,34.3
Cereal Beverage,Tesco Honey Flavoured Breakfast Cereal,0.17,3.49,0,3.49,20.5,20.5
Cereal Beverage,Mas Food Instant Crispy Prawn With Cereal,0.08,4.89,0,4.89,61.1,61.1
Cereal Beverage,Tesco Chocolate Flavoured Breakfast Cereal,0.17,3.49,0,3.49,20.5,20.5
Cereal Beverage,Sanitarium Weet-Bix Breakfast Cereal,0.375,9.08,-30,12.97,24.2,34.6
Cereal Beverage,Kellogg's Froot Loops Cereal 300g,0.3,13.01,-9,14.29,43.4,47.7
Cereal Beverage,Koko Krunch Chocolate Wheat Cereal,0.5,12,-20,14.99,24,30
Cereal Beverage,Koko Krunch Chocolate Wheat Cereal,0.17,6.01,-12,6.85,35.4,40.2
Cereal Beverage,Koko Krunch Chocolate Wheat Cereal,0.33,10.28,-6,10.99,31.2,33.2
Cereal Beverage,Masfood Kam Heong Cereal Prawn,0.085,4.89,0,4.89,57.5,57.5
Cereal Beverage,Cerelac Nutripuffs Banana & Orange Cereal,0.05,9.11,-5,9.59,182.2,191.8
Cereal Beverage,Linwoods Orgnaic Milled Flaxseed Cereal,0.2,28.19,-3,28.99,140.9,145.3
Cereal Beverage,Tesco Super Berry Granola Cereal,0.5,14.99,0,14.99,30,30
Cereal Beverage,Yogood Gourmet Muesli Macadamania Cereal,0.37,11.36,-20,14.19,30.7,38.4
Cereal Beverage,Milo Whole Grain Balls Cereal,0.33,10.28,-6,10.99,31.2,33.2
Cereal Beverage,Nestlé Honey Gold Flakes Cereal,0.37,11.39,-5,11.99,30.8,32.4
Cereal Beverage,Cerelac Nutripuffs Banana & Strawberry Cereal,0.05,9.11,-5,9.59,182.2,191.8
Cereal Beverage,Kellogg's Mueslix Harvest Fruit Cereal,0.375,15.79,0,15.79,42.1,42.1
Cereal Beverage,Kellogg's Coco Chex Cereal 330g,0.33,13.99,0,13.99,42.4,42.4
Cereal Beverage,Honey Stars Honey-Coated Breakfast Cereal,0.3,10.28,-6,10.99,34.3,36.5
Cereal Beverage,Kellogg's Mueslix Raising & Almond Crunch Cereal,0.375,15.79,0,15.79,42.1,42.1
